game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
200812310DET,2009,DET,NJN,40,41,Allen Iverson,Arron Afflalo,Jason Maxiell,Rodney Stuckey,Tayshaun Prince,Brook Lopez,Devin Harris,Jarvis Hayes,Trenton Hassell,Yi Jianlian,3,0,1,3,1,0,0,0,0,0,0,0,0,1,2,0.3333333333333333,0.3333333333333333,0.0,0,4,0,0,0,0,0,0,0,0,2,2,0,1,0,0.0,0.0,0.0,1
200812310DET,2009,DET,NJN,42,47,Allen Iverson,Amir Johnson,Arron Afflalo,Rodney Stuckey,Tayshaun Prince,Brook Lopez,Devin Harris,Jarvis Hayes,Trenton Hassell,Yi Jianlian,9,4,4,9,4,0,0,1,2,4,6,3,3,2,8,0.4444444444444444,0.4444444444444444,0.0,9,3,5,7,4,2,1,4,0,2,4,2,2,2,11,0.5555555555555556,0.5714285714285714,0.5,-1
200901070NJN,2009,NJN,MEM,0,3,Bobby Simmons,Brook Lopez,Keyon Dooling,Vince Carter,Yi Jianlian,Kyle Lowry,Marc Gasol,O.J. Mayo,Quinton Ross,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,4,7,Bobby Simmons,Brook Lopez,Keyon Dooling,Vince Carter,Yi Jianlian,Greg Buckner,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,8,8,Bobby Simmons,Brook Lopez,Keyon Dooling,Vince Carter,Yi Jianlian,Hakim Warrick,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,9,9,Bobby Simmons,Brook Lopez,Keyon Dooling,Vince Carter,Yi Jianlian,Greg Buckner,Hakim Warrick,Marc Gasol,Mike Conley,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,10,11,Bobby Simmons,Jarvis Hayes,Josh Boone,Vince Carter,Yi Jianlian,Greg Buckner,Hakim Warrick,Marc Gasol,Mike Conley,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,12,12,Bobby Simmons,Eduardo Najera,Jarvis Hayes,Josh Boone,Vince Carter,Darrell Arthur,Greg Buckner,Hakim Warrick,Mike Conley,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,13,13,Bobby Simmons,Eduardo Najera,Jarvis Hayes,Josh Boone,Keyon Dooling,Darrell Arthur,Greg Buckner,Hakim Warrick,Mike Conley,O.J. Mayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,14,14,Chris Douglas-Roberts,Eduardo Najera,Jarvis Hayes,Josh Boone,Keyon Dooling,Darrell Arthur,Greg Buckner,Hakim Warrick,Mike Conley,O.J. Mayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,15,15,Brook Lopez,Chris Douglas-Roberts,Eduardo Najera,Jarvis Hayes,Keyon Dooling,Darrell Arthur,Greg Buckner,Hakim Warrick,Mike Conley,O.J. Mayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,16,17,Brook Lopez,Chris Douglas-Roberts,Eduardo Najera,Jarvis Hayes,Keyon Dooling,Hakim Warrick,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,18,20,Brook Lopez,Jarvis Hayes,Keyon Dooling,Vince Carter,Yi Jianlian,Hakim Warrick,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,21,22,Bobby Simmons,Brook Lopez,Keyon Dooling,Vince Carter,Yi Jianlian,Hakim Warrick,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,23,23,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,Hakim Warrick,Kyle Lowry,Marc Gasol,O.J. Mayo,Quinton Ross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
