season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,removed_player
2007,PHO,PHI,25,Amar'e Stoudemire,?,Leandro Barbosa,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Chris Webber,Kevin Ollie,Samuel Dalembert,Boris Diaw
2007,PHO,PHI,29,Amar'e Stoudemire,?,Leandro Barbosa,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Chris Webber,Steven Hunter,Willie Green,Boris Diaw
2007,PHO,PHI,32,Amar'e Stoudemire,?,Leandro Barbosa,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Chris Webber,Kyle Korver,Willie Green,Kurt Thomas
2007,PHO,PHI,36,Boris Diaw,?,Marcus Banks,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Kyle Korver,Shavlik Randolph,Willie Green,Kurt Thomas
2007,PHO,PHI,43,Amar'e Stoudemire,?,Leandro Barbosa,Marcus Banks,Shawn Marion,Allen Iverson,Andre Iguodala,Rodney Carney,Samuel Dalembert,Willie Green,Jalen Rose
2007,UTA,PHO,0,C.J. Miles,?,Deron Williams,Mehmet Okur,Ronnie Brewer,Amar'e Stoudemire,Boris Diaw,Leandro Barbosa,Raja Bell,Shawn Marion,Carlos Boozer
2007,UTA,PHO,7,C.J. Miles,?,Deron Williams,Jarron Collins,Ronnie Brewer,Amar'e Stoudemire,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Carlos Boozer
2007,UTA,PHO,12,Carlos Boozer,?,Deron Williams,Jarron Collins,Matt Harpring,Jalen Rose,Kurt Thomas,Leandro Barbosa,Marcus Banks,Shawn Marion,Derek Fisher
2007,UTA,PHO,17,Derek Fisher,?,Matt Harpring,Mehmet Okur,Paul Millsap,Amar'e Stoudemire,Jalen Rose,Kurt Thomas,Marcus Banks,Raja Bell,Deron Williams
2007,UTA,PHO,18,Derek Fisher,?,Matt Harpring,Mehmet Okur,Paul Millsap,Amar'e Stoudemire,Leandro Barbosa,Marcus Banks,Raja Bell,Shawn Marion,Deron Williams
2007,UTA,PHO,19,Carlos Boozer,?,Matt Harpring,Mehmet Okur,Paul Millsap,Amar'e Stoudemire,Leandro Barbosa,Marcus Banks,Raja Bell,Shawn Marion,Deron Williams
2007,UTA,PHO,20,Carlos Boozer,?,Matt Harpring,Mehmet Okur,Paul Millsap,Amar'e Stoudemire,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Deron Williams
2007,UTA,PHO,26,C.J. Miles,?,Deron Williams,Mehmet Okur,Ronnie Brewer,Amar'e Stoudemire,Boris Diaw,Leandro Barbosa,Raja Bell,Shawn Marion,Carlos Boozer
2007,UTA,PHO,30,C.J. Miles,?,Mehmet Okur,Roger Powell,Ronnie Brewer,Amar'e Stoudemire,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Deron Williams
2007,UTA,PHO,37,Carlos Boozer,?,Deron Williams,Matt Harpring,Mehmet Okur,Jalen Rose,James Jones,Kurt Thomas,Leandro Barbosa,Raja Bell,Derek Fisher
2007,UTA,PHO,40,Carlos Boozer,?,Deron Williams,Matt Harpring,Mehmet Okur,Amar'e Stoudemire,James Jones,Leandro Barbosa,Raja Bell,Shawn Marion,Derek Fisher
2007,UTA,PHO,46,Carlos Boozer,?,Matt Harpring,Mehmet Okur,Paul Millsap,Amar'e Stoudemire,Jalen Rose,Kurt Thomas,Leandro Barbosa,Shawn Marion,Deron Williams
2007,GSW,PHO,4,Andris Biedrins,?,Mickael Pietrus,Mike Dunleavy,Monta Ellis,Amar'e Stoudemire,Boris Diaw,Raja Bell,Shawn Marion,Steve Nash,Jason Richardson
2007,GSW,PHO,8,Jason Richardson,?,Mike Dunleavy,Monta Ellis,Troy Murphy,Boris Diaw,Kurt Thomas,Leandro Barbosa,Shawn Marion,Steve Nash,Matt Barnes
2007,GSW,PHO,11,Jason Richardson,?,Mike Dunleavy,Monta Ellis,Troy Murphy,Jalen Rose,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Mickael Pietrus
