player_name,quality_score,normalized_score
Kevin Love,1019.362,0.5577495275312234
Wesley Matthews,1015.3300000000002,0.5555433965443848
Raymond Felton,1013.6800000000001,0.5546405899649492
Randy Foye,1005.123,0.5499585803284466
Danny Granger,1004.0720000000001,0.5493835198951212
Channing Frye,993.6,0.5436537074709706
Ray Allen,983.496,0.5381252482718093
Spencer Hawes,981.6949999999999,0.5371398212114679
Richard Hamilton,972.763,0.5322526282614571
Brandon Jennings,972.7030000000001,0.5322197989312959
Mario Chalmers,972.5510000000002,0.5321366312948873
Thaddeus Young,959.886,0.5252069068533415
Jrue Holiday,952.176,0.5209883379276157
Wilson Chandler,950.463,0.5200510605515108
Andrea Bargnani,949.6980000000001,0.5196324865919545
Trevor Ariza,928.011,0.507766325205156
Baron Davis,923.2829999999999,0.5051793739884463
John Salmons,922.9620000000001,0.5050037370720835
Tyreke Evans,921.586,0.5042508511003845
Kyle Lowry,899.984,0.4924311979313145
Derrick Rose,895.192,0.4898092287624327
DeMarcus Cousins,893.5310000000001,0.4889004034724677
Eric Gordon,892.164,0.48815244190029294
Serge Ibaka,891.141,0.4875927018210429
John Wall,885.859,0.484702626455844
Elton Brand,875.998,0.4793071260438359
Mike Bibby,875.9739999999999,0.47929399431177133
Marcin Gortat,871.017,0.4765817444849461
Greg Monroe,858.336,0.46964326555535735
Rashard Lewis,857.9000000000001,0.46940470575618537
Ty Lawson,855.2070000000001,0.46793121598744614
Andrew Bynum,851.2270000000001,0.46575353708674716
Andrei Kirilenko,851.122,0.4656960857589648
Chris Kaman,850.975,0.4656156539000697
Mehmet Okur,845.864,0.4628191421258305
Mike Dunleavy,841.292,0.46031754716754014
Ben Wallace,840.557,0.4599153878730643
Ryan Gomes,836.928,0.4579297605538089
Andris Biedrins,834.176,0.45642398861041106
Ronnie Brewer,821.533,0.44950630158992444
Jeff Teague,805.731,0.44086015033644593
DeShawn Stevenson,790.969,0.43278304080576313
Matt Barnes,790.726,0.4326500820186098
Rodney Stuckey,782.9559999999999,0.42839868376272267
Gerald Wallace,779.64,0.4265843161158087
Amir Johnson,778.689,0.42606397123275225
Kenyon Martin,774.364,0.42369752368362595
Stephen Jackson,772.5730000000001,0.42271756817831146
Raja Bell,764.509,0.41830530620463396
Robin Lopez,764.218,0.4181460839533517
Devin Harris,757.932,0.41470666446345383
Klay Thompson,756.0810000000001,0.4136938796279781
Luke Ridnour,752.307,0.41162891476083285
J.J. Hickson,747.451,0.4089719276397791
Willie Green,747.4280000000001,0.4089593430632173
Chandler Parsons,741.837,0.40590019664768767
Danilo Gallinari,740.8969999999999,0.4053858704751607
Zydrunas Ilgauskas,740.589,0.40521734658033287
Brandon Roy,734.9259999999999,0.40211880496860963
Vince Carter,733.1990000000001,0.40117386741546723
O.J. Mayo,729.5980000000001,0.39920356045028715
Erick Dampier,721.816,0.39494559632836773
Boris Diaw,720.415,0.39417903146910155
Wesley Johnson,719.761,0.39382119177034347
Kenneth Faried,717.7270000000001,0.3927082774778758
Emeka Okafor,716.938,0.3922765717862548
Jarrett Jack,716.278,0.3919154491544806
Drew Gooden,711.878,0.38950796494265266
Darren Collison,710.292,0.3886401763153892
Tony Allen,706.181,0.3863908200438381
Brendan Haywood,702.5930000000001,0.384427626100193
Udonis Haslem,701.9010000000001,0.38404899449233276
Steve Blake,696.0670000000001,0.38085688928964995
C.J. Miles,694.0350000000001,0.3797450693081876
Kyrie Irving,691.666,0.37844885792231925
Brandon Bass,690.0569999999999,0.3775684847184939
Chuck Hayes,685.845,0.3752638657411714
Goran Dragic,684.6429999999999,0.37460618482694014
Corey Brewer,684.47,0.37451152692497514
Lamar Odom,680.4609999999999,0.37231798051469817
Brandon Knight,676.692,0.3702557514250665
Beno Udrih,675.9,0.36982240426693747
Rafer Alston,675.895,0.369819668489424
Mike Miller,666.6490000000001,0.3647606687115692
James Harden,662.68,0.36258900852139975
Danny Green,662.504,0.3624927091529267
Courtney Lee,660.533,0.3614142656571283
Damian Lillard,657.7579999999999,0.35989590913716857
Gordon Hayward,655.155,0.35847166336367126
Brook Lopez,652.5980000000001,0.35707258674329767
Troy Murphy,638.962,0.34961157430864165
George Hill,629.8100000000001,0.3446040071480395
Martell Webster,629.803,0.3446001770595207
Luc Mbah a Moute,625.2249999999999,0.34209529916821413
Ersan Ilyasova,619.064,0.33872427411615236
Paul George,610.903,0.33425893805871415
Kawhi Leonard,601.561,0.3291474113526012
Allen Iverson,599.003,0.3277477875767249
Tracy McGrady,597.0380000000001,0.3266726270139427
Quentin Richardson,596.598,0.3264318785927598
Evan Turner,595.1730000000001,0.32565218200142926
Rasheed Wallace,592.2600000000001,0.32405831802209856
Josh Howard,589.7300000000001,0.3226740146002975
Kyle Korver,586.1410000000001,0.3207102735011496
Keith Bogans,578.9870000000001,0.31679592303491844
Jared Dudley,577.696,0.31608954528094796
Nikola Vucevic,574.846,0.31453015209828666
Dorell Wright,569.973,0.31186386333368715
Shaquille O'Neal,569.507,0.31160888886943444
Jonas Valanciunas,568.7640000000001,0.31120235233093724
Zaza Pachulia,564.857,0.30906461578193445
Nikola Pekovic,557.401,0.3049850243538914
Anderson Varejao,551.075,0.30152371864388605
Al Harrington,548.352,0.30003381421006614
Jamal Crawford,546.2600000000001,0.2988891648984425
Jermaine O'Neal,539.256,0.29505688775761446
Chris Duhon,533.079,0.2916771082175096
Ben Gordon,525.99,0.2877983228589532
Tristan Thompson,522.879,0.2860961220900903
Harrison Barnes,522.279,0.28576782878847734
Nenad Krstic,518.998,0.2839726115841575
Brad Miller,512.857,0.28061252964214933
Avery Bradley,512.7090000000001,0.28053155062775154
Corey Maggette,509.22400000000005,0.27862471370088326
Darko Milicic,508.592,0.2782789114231843
Ricky Rubio,504.635,0.2761138170990472
Omer Asik,503.16300000000007,0.27530840419909025
Bradley Beal,502.35600000000005,0.27486684970842085
Jodie Meeks,501.798,0.27456153693792085
Jason Maxiell,500.37,0.2737801988800821
Reggie Evans,499.74800000000005,0.2734398681574101
J.J. Redick,497.57899999999995,0.2722530878720794
Antonio McDyess,490.568,0.2684169806427326
P.J. Tucker,490.214,0.26822328759478103
Yao Ming,485.325,0.26554824434213853
Michael Beasley,484.63300000000004,0.2651696127342783
Aaron Brooks,480.953,0.2631560804843858
Andray Blatche,480.088,0.26268279097456054
Joel Przybilla,476.62799999999993,0.2607896329352594
Landry Fields,470.751,0.25757400004596104
Jason Terry,470.22299999999996,0.25728510194054166
Jeremy Lin,467.17400000000004,0.2556168248128455
Delonte West,466.521,0.2552595322695901
T.J. Ford,457.723,0.25044565815693953
DeJuan Blair,452.06000000000006,0.2473471165452164
Anthony Davis,447.99100000000004,0.24512074080477822
Derrick Favors,447.627,0.24492157620179972
Andre Drummond,445.557,0.2437889643112352
Lance Stephenson,443.219,0.24250971474595023
Manu Ginobili,442.269,0.24198991701839645
